dataset,seed,timeslots,rooms,teachers,groups,lessons,tasks,algorithm,title,scheduled_count,unscheduled_count,conflict_count,score,utilization_percent,elapsed_ms
constrained_rooms,1,8,3,4,3,5,13,annealing,Имитация отжига,12,1,0,100110,50.0,430.460
constrained_rooms,1,8,3,4,3,5,13,greedy,Жадный алгоритм,11,2,0,200144,45.8,0.000
constrained_rooms,1,8,3,4,3,5,13,sequential,Последовательный перебор,12,1,0,100142,50.0,0.000
constrained_rooms,1,8,3,4,3,5,13,random,Случайный порядок,12,1,0,100142,50.0,0.000
constrained_rooms,2,8,3,4,3,5,13,annealing,Имитация отжига,13,0,0,111,54.2,423.926
constrained_rooms,2,8,3,4,3,5,13,greedy,Жадный алгоритм,11,2,0,200144,45.8,0.000
constrained_rooms,2,8,3,4,3,5,13,sequential,Последовательный перебор,12,1,0,100142,50.0,0.000
constrained_rooms,2,8,3,4,3,5,13,random,Случайный порядок,11,2,0,200067,45.8,1.359
constrained_rooms,3,8,3,4,3,5,13,annealing,Имитация отжига,12,1,0,100075,50.0,391.189
constrained_rooms,3,8,3,4,3,5,13,greedy,Жадный алгоритм,11,2,0,200144,45.8,0.000
constrained_rooms,3,8,3,4,3,5,13,sequential,Последовательный перебор,12,1,0,100142,50.0,0.000
constrained_rooms,3,8,3,4,3,5,13,random,Случайный порядок,11,2,0,200106,45.8,0.000
constrained_rooms,4,8,3,4,3,5,13,annealing,Имитация отжига,13,0,0,111,54.2,434.457
constrained_rooms,4,8,3,4,3,5,13,greedy,Жадный алгоритм,11,2,0,200144,45.8,0.000
constrained_rooms,4,8,3,4,3,5,13,sequential,Последовательный перебор,12,1,0,100142,50.0,0.000
constrained_rooms,4,8,3,4,3,5,13,random,Случайный порядок,12,1,0,100076,50.0,0.000
constrained_rooms,5,8,3,4,3,5,13,annealing,Имитация отжига,12,1,0,100076,50.0,447.947
constrained_rooms,5,8,3,4,3,5,13,greedy,Жадный алгоритм,11,2,0,200144,45.8,0.000
constrained_rooms,5,8,3,4,3,5,13,sequential,Последовательный перебор,12,1,0,100142,50.0,0.000
constrained_rooms,5,8,3,4,3,5,13,random,Случайный порядок,12,1,0,100177,50.0,0.000
lab_heavy,1,12,4,4,3,5,13,annealing,Имитация отжига,13,0,0,59,27.1,475.141
lab_heavy,1,12,4,4,3,5,13,greedy,Жадный алгоритм,13,0,0,234,27.1,0.000
lab_heavy,1,12,4,4,3,5,13,sequential,Последовательный перебор,13,0,0,201,27.1,0.000
lab_heavy,1,12,4,4,3,5,13,random,Случайный порядок,13,0,0,133,27.1,0.000
lab_heavy,2,12,4,4,3,5,13,annealing,Имитация отжига,13,0,0,59,27.1,616.026
lab_heavy,2,12,4,4,3,5,13,greedy,Жадный алгоритм,13,0,0,234,27.1,0.565
lab_heavy,2,12,4,4,3,5,13,sequential,Последовательный перебор,13,0,0,201,27.1,0.000
lab_heavy,2,12,4,4,3,5,13,random,Случайный порядок,13,0,0,137,27.1,0.516
lab_heavy,3,12,4,4,3,5,13,annealing,Имитация отжига,13,0,0,59,27.1,628.081
lab_heavy,3,12,4,4,3,5,13,greedy,Жадный алгоритм,13,0,0,234,27.1,0.000
lab_heavy,3,12,4,4,3,5,13,sequential,Последовательный перебор,13,0,0,201,27.1,0.000
lab_heavy,3,12,4,4,3,5,13,random,Случайный порядок,13,0,0,135,27.1,1.001
lab_heavy,4,12,4,4,3,5,13,annealing,Имитация отжига,13,0,0,59,27.1,649.394
lab_heavy,4,12,4,4,3,5,13,greedy,Жадный алгоритм,13,0,0,234,27.1,0.000
lab_heavy,4,12,4,4,3,5,13,sequential,Последовательный перебор,13,0,0,201,27.1,0.525
lab_heavy,4,12,4,4,3,5,13,random,Случайный порядок,13,0,0,137,27.1,0.000
