dataset,algorithm,title,runs,tasks,avg_scheduled,avg_unscheduled,avg_conflicts,avg_score,best_score,worst_score,avg_utilization_percent,avg_elapsed_ms,conflict_free_run_share
constrained_rooms,annealing,Имитация отжига,5,13,12.400,0.600,0.000,60096.600,111,100110,51.680,425.596,1.000
constrained_rooms,greedy,Жадный алгоритм,5,13,11.000,2.000,0.000,200144.000,200144,200144,45.800,0.000,1.000
constrained_rooms,random,Случайный порядок,5,13,11.600,1.400,0.000,140113.600,100076,200106,48.320,0.272,1.000
constrained_rooms,sequential,Последовательный перебор,5,13,12.000,1.000,0.000,100142.000,100142,100142,50.000,0.000,1.000
lab_heavy,annealing,Имитация отжига,5,13,13.000,0.000,0.000,59.000,59,59,27.100,601.330,1.000
lab_heavy,greedy,Жадный алгоритм,5,13,13.000,0.000,0.000,234.000,234,234,27.100,0.113,1.000
lab_heavy,random,Случайный порядок,5,13,13.000,0.000,0.000,142.000,133,168,27.100,0.503,1.000
lab_heavy,sequential,Последовательный перебор,5,13,13.000,0.000,0.000,201.000,201,201,27.100,0.105,1.000
medium_balanced,annealing,Имитация отжига,5,17,17.000,0.000,0.000,206.000,206,206,18.900,1036.573,1.000
medium_balanced,greedy,Жадный алгоритм,5,17,17.000,0.000,0.000,346.000,346,346,18.900,0.806,1.000
medium_balanced,random,Случайный порядок,5,17,17.000,0.000,0.000,472.000,408,535,18.900,0.417,1.000
medium_balanced,sequential,Последовательный перебор,5,17,17.000,0.000,0.000,479.000,479,479,18.900,0.615,1.000
overloaded_impossible,annealing,Имитация отжига,5,10,4.000,6.000,0.000,600037.600,600000,600102,50.000,262.330,1.000
overloaded_impossible,greedy,Жадный алгоритм,5,10,4.000,6.000,0.000,600035.000,600035,600035,50.000,0.000,1.000
overloaded_impossible,random,Случайный порядок,5,10,4.000,6.000,0.000,600033.800,600000,600051,50.000,0.000,1.000
overloaded_impossible,sequential,Последовательный перебор,5,10,4.000,6.000,0.000,600035.000,600035,600035,50.000,0.199,1.000
small_basic,annealing,Имитация отжига,5,5,5.000,0.000,0.000,30.000,30,30,27.800,259.643,1.000
small_basic,greedy,Жадный алгоритм,5,5,5.000,0.000,0.000,30.000,30,30,27.800,0.106,1.000
small_basic,random,Случайный порядок,5,5,5.000,0.000,0.000,37.000,30,65,27.800,0.000,1.000
small_basic,sequential,Последовательный перебор,5,5,5.000,0.000,0.000,65.000,65,65,27.800,0.111,1.000
